10202	IGNORE	JWT-based auth - no CSRF tokens needed; app uses Bearer tokens not cookies
10054	IGNORE	Supabase Auth internal cookies - not in application control
10011	IGNORE	Supabase Auth internal cookies - not in application control
10096	IGNORE	Intentional Vite content-hash timestamps for cache-busting
10027	IGNORE	Vite/React build artifacts - not user-controlled input
10015	IGNORE	Intentional long-term caching for content-hashed Vite assets
10109	IGNORE	Expected for React SPA - ZAP cannot fully crawl client-side routing
10038	WARN	CSP header check - should be set by Netlify _headers
10021	WARN	X-Content-Type-Options check - should be set by Netlify _headers
10035	WARN	HSTS header check - should be set by Netlify _headers
40018	FAIL	SQL Injection - must not appear
40012	FAIL	Cross Site Scripting Reflected - must not appear
40014	FAIL	Cross Site Scripting Persistent - must not appear
90020	FAIL	Remote OS Command Injection - must not appear
6	FAIL	Path Traversal - must not appear
7	FAIL	Remote File Inclusion - must not appear
